Sex,Gender,Age,Ethnicity,Age Group,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
1,Male,75,1,9,250186,248695,256585,330519,302524,280238,273185,265695,262350,266019,267297,263627,277808,280773,292585,293651,303909,319679,322077,329328,328201,332260
1,Male,76,1,9,228178,242437,241104,248849,320599,293574,272054,265308,258130,254967,258609,259932,256448,270322,273291,284879,286009,296096,311555,313988,321154,320154
1,Male,77,1,9,198984,220253,234115,232945,240530,309947,283955,263259,256839,249987,247017,250630,251997,248710,262253,265227,276571,277767,287666,302786,305255,312327
1,Male,78,1,9,173570,191230,211761,225197,224194,231603,298536,273643,253817,247739,241233,238464,242045,243459,240380,253566,256541,267622,268887,278578,293331,295836
1,Male,79,1,9,174435,166029,183002,202750,215726,214890,222103,286403,262667,243760,238037,231894,229336,232878,234339,231479,244279,247252,258048,259382,268848,283206
1,Male,80,1,9,168976,165945,158043,174287,193199,205681,205013,212018,273517,251000,233060,227709,221947,219608,223106,224613,221982,234368,237335,247820,249224,258443
1,Male,81,1,9,157775,159756,156981,149599,165068,183091,195045,194548,201326,259855,238614,221689,216725,211360,209247,212694,214245,211854,223794,226750,236897,238369
1,Male,82,1,9,142286,148109,150064,147553,140710,155357,172433,183822,183494,190017,245399,225496,209636,205075,200122,198242,201633,203223,201081,212543,215480,225260
1,Male,83,1,9,130627,132475,137993,139912,137667,131379,145156,161231,172016,171850,178091,230146,211640,196895,192746,188222,186582,189906,191533,189648,200593,203504
1,Male,84,1,9,117922,120463,122276,127466,129338,127362,121638,134502,149520,159658,159647,165580,214138,197081,183493,179766,175684,174287,177529,179190,177563,187958
1,Male,85,1,9,100825,107573,110006,111770,116614,118424,116712,111562,123468,137380,146830,146963,152561,197465,181899,169504,166204,162568,161419,164566,166251,164888
1,Male,86,1,9,89166,90882,97078,99384,101082,105556,107291,105835,101260,112171,124934,133661,133923,139161,180283,166236,155054,152184,149000,148092,151129,152828
1,Male,87,1,9,79771,79296,80930,86555,88717,90330,94418,96066,94854,90845,100738,112317,120295,120669,125522,162775,150254,140295,137846,135108,134434,137343
1,Male,88,1,9,67372,69882,69565,71101,76146,78148,79662,83352,84897,83913,80451,89316,99696,106904,107368,111816,145164,134155,125410,123367,121063,120609
